name,isNew,ring,quadrant,description
Markdown,TRUE,adoptar,llenguatges i entorns de treball,"Llenguatge d'edició lleuger que afavoreix l'edició i publicació de contingut al web. Molt adoptat sobretot per documentació tècnica a entorns cloud o quan s'utilitza en blogs generats estàticament amb eines com ara Hugo o Jekyll. El fem servir de fa temps als portals de Qualitat i al d'Arquitectura. Encoratgem adoptar-lo per a crear informació bàsica en els arxius README.md dels projectes al nostre git corporatiu."
Angular 2+,TRUE,provar,llenguatges i entorns de treball,<a href='https://angular.io/'>Angular</a> és un framework mantés per Google que s'utilitza per crear i mantenir aplicacions web d'una sola pàgina. La seva adopció ha estat meteòrica i juntament amb React abarca la major part del mercat de SPA.
Redux,TRUE,provar,llenguatges i entorns de treball,"<a href='https://github.com/reactjs/redux'>Redux</a> és una llibreria per controlar l'estat de les aplicacions. Molt utilitzat juntament amb React sent react la vista i cada cop més també amb Angular reemplaçant el contenidor d'estats que porta Angular per defecte."
React.js,TRUE,avaluar,llenguatges i entorns de treball,"<a href='https://reactjs.org/'>React</a> és un framework mantingut per Facebook que s'utilitza per crear i mantenir aplicacions web d'una sola pàgina. La seva adopció ha estat meteòrica i la combinació (React+Redux) té una popularitat molt semblant a Angular, els líders del mercat."
Ember.js,TRUE,avaluar,llenguatges i entorns de treball,"Si us heu d'enfrontar a construir una aplicació d'una sola pàgina (SPA) i tracteu de triar un marc de treball per construir-la, <a href='https://emberjs.com/'>Ember.js</a> ha sorgit com una opció a considerar. Proporciona una experiència altament productiva, amb una eina de creació (Ember CLI) que és molt simple comparada amb altres eines de compilació de JavaScript."
Spring Cloud,TRUE,avaluar,llenguatges i entorns de treball,"<a href='http://projects.spring.io/spring-cloud/'>Spring Cloud</a>és una nova suite de components de Spring que ens ajuda a desplegar el nostre artefacte (WAR o JAR) a plataformes cloud. Suporta múltiples clouds (Heroku, Cloud Foundry) a través del concepte de Cloud Connector"
Kotlin,TRUE,avaluar,llenguatges i entorns de treball,"<a href='https://kotlinlang.org/'>Kotlin</a> és un llenguatge orientat a objectes i tipat estàtic desenvolupat per Jetbrains. L'objectiu és fer un millor Java. Recentment, Google ha adoptat Kotlin per Android com a llenguatge oficial. Kotlin és un dels llenguatges que incorpora Spring i per tant és compatible amb classes java existents com les del nostre framework Canigo."
Scala,TRUE,avaluar,llenguatges i entorns de treball,"<a href='https://www.scala-lang.org/'>Scala</a> és un llenguatge de programació multiparadigma (tant orientat a objectes com funcional) que ha experimentat un gran creixement degut a la seva sintaxi, clara i concisa i que permet una adopció/transició a la programació funcional de forma pautada."
Golang,TRUE,avaluar,llenguatges i entorns de treball,"<a href='https://golang.org/'>Golang</a> és el llenguatge de programació que més adopció ha experimentat aquests darrers anys. Go ha estat desenvolupat per Google i és orientat a objectes similar a C però amb una sintaxi molt més clara i orientat a la senzillesa."
Clojure,TRUE,avaluar,llenguatges i entorns de treball,"<a href='https://clojure.org/'>Clojure</a> és un llenguatge funcional i dinàmic que córre sobre la JVM. Basat en Lisp, afegeix conceptes de programació més moderns com l'avaluació tardana i abstraccions avançades de concurrència. Té una potent comunitat de desenvolupadors que construeixen gran quantitat d'eines i frameworks. Especialment indicat per a aprofitar entorns amb multiples fils d'execució."
AngularJs,TRUE,precaució,llenguatges i entorns de treball,"AngularJs o Angular 1.x és totalment diferent a Angular 2 i posteriors versions. Tot i que encara no és a EOL es recomana l'adopció d'Angular 2+ al ser una arquitectura que tindrà més recorregut i totalment diferent a AngularJs"
Versions LTS,TRUE,adoptar,tècniques,"En el moment d'escollir versions dels programaris a utilitzar en una aplicació o infraestructura, sempre fer servir versions de suport a llarg termini (conegudes també com a LTS, de l'anglès Long Term Support). Això permet que les aplicacions gaudeixin d'un suport extra que no tindrien de fer servir versions que no ho són."
Canals de desplegament com a codi,TRUE,provar,tècniques,"L'automatització de les tasques de desplegament aporta més rapidesa i fiabilitat en la construcció i l'enviament d'artefactes cap els entorns d'execució. El fet de tenir aquest procés com a codi, en comptes de configurar una instància de desplegament, permet mantenir-lo en control de versions. Estem treballant fermament en crear un ambient de treball que permeti que les configuracions de desenvolupament puguin arribar a la resta d'entorns, inclós producció."
Microserveis,TRUE,provar,tècniques,"Fa temps que en parlem dels microserveis com un dels nous paradigmes a tenir molt en compte en la construcció de noves aplicacions i més recentment, en una de les sortides lògiques en el refactoring d'aplicacions monolítiques. Els microserveis efectivament allegeureixen els monòlits a costa d'augmentar-ne la complexitat del comportament de l'aplicació. Tenir molt en compte els <a href='http://canigo.ctti.gencat.cat/blog/2017/12/principismicroserveis/'Principis de Microserveis'</a> per a abordar un projecte amb aquesta filosofia."
Canals de desplegament d'infraestructura com a codi,TRUE,provar,tècniques,"L'automatització de les tasques de desplegament també arriba a les infraestructures. Mentre que en els entorns de contenidors està agafant una certa maduresa, ja s'està tenint en compte per a altres entorns més clàssics, basats en virtualització o fins i tot les ferro físic. Ja s'estan trobant a la comunitat, eines que permeten crear màquines-tipus mitjançant codi, que poden ser desplegades en multitud d'entorns. D'aquesta manera es gaudeix de les bones pràctiques del control de versions, i permet deslligar la definició de la màquina de l'entorn concret on es desplega"
Desenvolupament Orientat a les Proves (TDD),TRUE,avaluar,tècniques,"Desenvolupament orientat a les proves (de l'anglès 'Test Driven Development', o TDD) és una pràctica que planteja escriure primer les proves unitàries abans del codi. Utilitzant llibreries com ara JUnit per Java, la introducció de proves abans de codi afavoreix el codi net i el manteniment correctiu i la introducció de nous evolutius sobre el codi ja existent sense trasbalsos innecessaris."
Desenvolupament Orientat al Comportament (BDD),TRUE,avaluar,tècniques,"Desenvolupament orientat al comportament (de l'anglès 'Behaviour Driven Development', o BDD) és una pràctica que facilita la interacció entre els rols més tècnics i funcionals. Permet en llenguatge d'alt nivell escriure les expectatives d'un sistema i validar-ho amb proves tècniques. Eines com ara Cucumber o Gherkin faciliten l adopció d'aquesta pràctica."
Proves de Contractes dirigides per Consumidors,TRUE,avaluar,tècniques,"Amb l'adopció de microserveis, la validació d'interaccions entre serveis es fa més difícil al crèixer el nombre. Eines com <a href='https://docs.pact.io/'>pact</a> o <a href='https://thoughtworks.github.io/pacto/'>pacto</a> implementen la idea CDC i permeten validar que els canvis introduïts en els serveis no afecten als seus consumidors, de forma senzilla."
Data Lake,TRUE,avaluar,tècniques,"Un Data Lake és un repositori de dades immutables, normalment en brut, que serveix principalment com a font de dades per propòsits analítics. En alguns casos s'ha fet servir eines i tècniques als Data Lakes que pertanyen més a la filosofia dels productes ETL, arribant a substituir-los completament a un cost molt inferior. Important no confondre el Data Lake amb un repositori de dades massiu del que es fa un ús operacional. Per a aquest tipus d'ús hi ha bases de dades específiques no relacionals."
Escaneig de seguretat de contenidors,TRUE,avaluar,tècniques,"La revolució dels contenidors, ha reduït massivament la feina per a portar una aplicació a entorns visibles pels usuaris, però al mateix temps ha disparat un forat bastant gran en els controls tradicionals sobre el que pot anar a producció. La tècnica d'escaneig de seguretat del contenidor és una resposta necessària a aquest vector d'amenaces. Pensem que la validació automatitzada de contenidors de seguretat és d'alt valor i una part necessària del desplegament d'infraestructures d'aques tipus."
OWASP ASVS,TRUE,avaluar,tècniques,"A mesura que més equips de desenvolupament incorporen validacions de seguretat al cicle de vida del desenvolupament, determinar els requisits per limitar els riscos de seguretat pot acabar sent una tasca feixuga. Poques persones tenen l'ampli coneixement tècnic necessari per identificar tots els riscos que pot afrontar una aplicació, i els equips podrien confrontar-se només intentant decidir on començar. Basant-se en marcs com ara <a href='https://www.owasp.org/index.php/Category:OWASP_Application_Security_Verification_Standard_Project'>ASVS</a> (Estàndard de Verificació de Seguretat de l'Aplicació) d'OWASP, les decisions quasi venen donades. Encara que sigui una mica llarg, conté una llista completa de requisits classificats per funcions com l'autenticació, el control d'accés, i el maneig i el registre d'errors, que es poden revisar segons sigui necessari. També és útil com a recurs per als verificadors quan es tracta de verificar el programari."
Redis,TRUE,adoptar,plataformes,"Redis pot ser utilitzada per les aplicacions en diferents sentits. Molt útil com a cache web així com a repositori de les sessions. La seva rapidesa, senzillesa i versatilitat li atorguen un paper principal en aplicacions amb molta audiència"
Elasticstack,TRUE,adoptar,plataformes,
Blockchain,TRUE,avaluar,plataformes,"While the currency aspect of Bitcoin and other cryptocurrencies gets most of the news, we are equally excited about possibilities for using the <strong>Blockchain beyond bitcoin</strong> and financial transactions. The Blockchain is a mechanism for verifying the contents of a shared ledger without relying on a centralized service. We already see the Blockchain (either the underlying technology or the public Bitcoin Blockchain) being used at the heart of systems as varied as identity, ownership, record-keeping, voting, cloud storage and even managing networks of smart devices. If you are building systems that require trust over decentralized networks, then the Blockchain is a technology worth assessing."
Algolia,TRUE,adoptar,plataformes,"Algolia és un cercador en SaaS que ja estem utilitzant en diferents portals. La seva potent API, temps de resposta i facilitat de gestió fan que aquesta plataforma sigui fàcilment integrable en qualsevol portal que necessiti capacitats de cerca avançades"
Docker,TRUE,adoptar,plataformes,La containerització d'aplicacions permet reduïr la complexitat i orientar les solucions a serveis stateless a cost molt baix
Aresta,TRUE,adoptar,plataformes,
Shibboleth,TRUE,adoptar,plataformes,Plataforma d'autenticació federada i de Single Sign On opensource que permet que les aplicacions web li deleguin l'autenticació a través de SAMLv2
ADFS,TRUE,adoptar,plataformes,"Plataforma d'autenticació federada i de Single Sign On de Microsoft que permet que les aplicacions web li deleguin l'autenticació a través de SAMLv2. És la preferida per utilitzar en entorns i aplicacions Microsoft (Sharepoint, CRM Dynamics, Office365) i aplicacions basades en .NET"
AADConnect,TRUE,adoptar,plataformes,Plataforma de sincronització d'identitats que permet sincronitzar els objectes d'un Active Directory on Premise al Azure Active Directory
MongoDB,TRUE,adoptar,plataformes,
Auth0,TRUE,avaluar,plataformes,
Kubernetes,TRUE,adoptar,plataformes,
Pivotal Cloud Foundry,TRUE,avaluar,plataformes,
Rancher,TRUE,avaluar,plataformes,
API Gateway,TRUE,avaluar,plataformes,
Electron,TRUE,avaluar,plataformes,<a href='https://electronjs.org/'>Electron</a> és una plataforma en javascript que permet crear aplicacions nadives i multiplataforma de forma senzilla. Molt similar en concepte a la plataforma NW.js
Nuxeo,TRUE,avaluar,plataformes,"L'adopció de Nuxeo ha crescut exponencialment aquests darrers anys. CMS open source amb possibilitat de clúster i codebase únic, mateix per la versió comercial i gratuita. El seu suport i comunitat és força gran i es preveu que creixi la seva adopció."
Alfresco Community,TRUE,precaució,plataformes,"Alfresco Community a dia d'avui té poc a veure amb la versió Enterprise. De fet, la documentació de la versió community ja no està mantinguda i des de 2015 el codebase de la versió comercial i gratuïta ja no és el mateix."
